language,id,author_id,created_at,date,text,place_info__full_name,continent,latitude,longitude,place_info__place_type,attachments__media_keys__-,attachments__media_keys__001,attachments__media_keys__002,attachments__media_keys__003,attachments__media_keys__004,media_url
Spanish,1375333502464499712,354591550,2021-03-26T06:27:14.000Z,"March 26, 2021","Contamos con experiencia en la ejecución de programas para el Rescate y Reubicación de Fauna Silvestre #CieloClaro #FaunaSilvestre #Aguascalientes #México en Aguascalientes, Mexico https://t.co/uKYQkYzkWu","Jesús María, Aguascalientes",North America,21.94435579,-102.3414373,city,,,,,,
Spanish,1375223666745741318,259311313,2021-03-25T23:10:47.000Z,"March 25, 2021",Conéctate a #AntioquiaMásViva y conversemos acerca de la importancia de proteger la fauna silvestre 🦜🐢💚🌎 durante esta #SemanaSanta. @amoramartinez1 https://t.co/7yGuXx85Y9,"Medellín, Colombia",South America,6.270882998,-75.619213,city,,7_1375223612844695552,,,,https://pbs.twimg.com/ext_tw_video_thumb/1375223612844695552/pu/img/so09PnW8xzW-jEjO.jpg
Spanish,1375134757181329418,168348502,2021-03-25T17:17:29.000Z,"March 25, 2021",@BCBRP @PayoPanama @ProtegeryServir @MiAmbientePma @panamamunicipio @raisabanfield @tvnnoticias @TReporta @nexnoticias @alconpty2015 @ENSApanama Sabemos que están ocupados y siempre agradeceremos la buena disposición que tienen para con la fauna silvestre. Gracias!,Panama,North America,8.4216729,-80.0954175,country,,,,,,
Spanish,1375101570161999876,550443621,2021-03-25T15:05:37.000Z,"March 25, 2021","Después de 6️⃣0️⃣ años, el Zoológico Santa Fe de Medellín, perteneciente a la Sociedad de Mejoras Públicas de Medellín, se transformó en el Parque de la Conservación, un centro para la protección de la fauna silvestre. 🦁🐼🐘🦒🦍\n\n📸 Fotos: @pqconservacion \n\n#MiDestinoco https://t.co/JYCXlohJmk","Medellín, Colombia",South America,6.270882998,-75.619213,city,,3_1375101560179556354,3_1375101560179548162,3_1375101560187944964,3_1375101560187936771,https://pbs.twimg.com/media/ExVXlViWgAI-M4K.jpg
Spanish,1374773534468214787,189124591,2021-03-24T17:22:07.000Z,"March 24, 2021","@munecamarce Ciudadanos y hasta algunas instituciones se acostumbraron a abandonarlos en bosques y parques nacionales. \nAl darse cuenta de su grosero error, empezaron a colocar veneno y también afectaron a la fauna silvestre. Adivinen dónde inicia el daño?? Y sabiendo NO hacemos nada 😤😤","Quito, Ecuador",South America,-0.166570501,-78.5566815,city,,,,,,
Spanish,1374736955410354192,270979066,2021-03-24T14:56:46.000Z,"March 24, 2021","Reforzar los lineamientos de política pública alrededor de la protección de la fauna y flora silvestre de #BogotáRegión, mediante el Proyecto #BogotáEsTuFloraYFauna, otorgaría más herramientas para mitigar el impacto del tráfico de especies @Ambientebogota @SosSemana https://t.co/vEbwygqSWd","Medellín, Colombia",South America,6.270882998,-75.619213,city,,,,,,
Spanish,1374474599463743491,2861882331,2021-03-23T21:34:15.000Z,"March 23, 2021","Se cumple entrega voluntaria de galápagas, micos, picures, morrocos, loros, entre otras especies de fauna silvestre, por parte de la Policía Ambiental y Corporinoquia.\nhttps://t.co/ob7HTmg4NK https://t.co/Q99OY4svjR","Yopal, Colombia",South America,5.208574502,-72.2670745,city,,3_1374474582342524928,3_1374474587270909952,3_1374474596775161861,,https://pbs.twimg.com/media/ExMdWbFUYAAE4YF.jpg
Spanish,1374280478165975043,629205455,2021-03-23T08:42:53.000Z,"March 23, 2021",Serinus canarius.\nCanario silvestre.\nProtección convenio de Berna. Anexo III\nEndémico de la Macaronesia.\n#elhierro #isladelmeridiano #elhierroisland @i_love_elhierro #made_in_canary_ @florayfauna.es #faunayflora #fauna https://t.co/7k0yWrINFw,"Frontera, España",Europe,27.7526787,-18.0163544,city,,,,,,
Spanish,1374023414806159361,270979066,2021-03-22T15:41:24.000Z,"March 22, 2021","Es la esencia vital para la conservación y protección de la fauna y flora silvestre en los bosques, páramos y humedales de Bogotá y la región. \n\n#DiaMundialDelAgua #BogotáEsTuFloraYFauna https://t.co/EkivaF1hY1","Jardín, Colombia",South America,5.590471997,-75.8299545,city,,3_1374023408414031872,,,,https://pbs.twimg.com/media/ExGDApOXAAA0nrc.jpg
Spanish,1374002031229292544,1115631820161175552,2021-03-22T14:16:26.000Z,"March 22, 2021",•No hay plantas que retengan el agua para que se filtre al subsuelo y forme o recupere mantos freáticos.\n•Desaparece el hábitat de la fauna silvestre.,"Querétaro, Querétaro Arteaga",North America,20.7152746,-100.4405946,city,,,,,,
Spanish,1373771148282978316,2424110936,2021-03-21T22:58:59.000Z,"March 21, 2021","En el día mundial de los bosques, resalto la importancia de los bosques emblemáticos de mi municipio, los bosques protectores de los Caños Camoa e Iracá, bosques que garantizan la seguridad alimentaria de nuestra fauna silvestre.\n¡Orgullosamente Sanmartinera! https://t.co/r5ilyjQ9fB","San Martín, Colombia",South America,3.490299,-73.0308225,city,,3_1373771128406163462,3_1373771137285562372,3_1373771146194268161,,https://pbs.twimg.com/media/ExCdkA9WQAYBVYp.jpg
Thai,1375832931281870849,90381715,2021-03-27T15:31:47.000Z,"March 27, 2021",ดุ๊กดิ๊กๆ🙃 @ สถานีวิจัยสัตว์ป่าเขานางรำ ห้วยขาแข้ง https://t.co/JlniwaApFX,"Nong Chang, Thailand",Asia,15.38666306,99.8512868,city,,,,,,
Thai,1375768942644506625,90381715,2021-03-27T11:17:31.000Z,"March 27, 2021",🐝🐜🦌🐘🦜🐿 @ สถานีวิจัยสัตว์ป่าเขานางรำ ห้วยขาแข้ง https://t.co/A1Nn9EzWS2,"Nong Chang, Thailand",Asia,15.38666306,99.8512868,city,,,,,,
Thai,1375078407289982977,458205797,2021-03-25T13:33:34.000Z,"March 25, 2021",เฮือนฮังต่อ...เครื่องดื่ม ท่ามกลางธรรมชาติ ปลาคราฟ สัตว์ป่านาๆชนิด @ เฮือนฮังต่อ กาแฟน่าน https://t.co/ejji3ZXnzV,"Nan, Thailand",Asia,18.78966289,100.7703942,city,,,,,,
